id,type,name,value
1,Typ turystyki,City breaks,1
1,Typ turystyki,Imprezy kulturalne,2
1,Typ turystyki,Imprezy sportowe,3
1,Typ turystyki,Kulinaria,4
1,Typ turystyki,Muzea i centra edukacyjne,5
1,Typ turystyki,Obiekty sakralne,6
1,Typ turystyki,Parki rozrywki,7
1,Typ turystyki,Spa & wellness,8
1,Typ turystyki,Szlaki i trasy turystyczne,9
1,Typ turystyki,Turystyka aktywna,10
1,Typ turystyki,Turystyka biznesowa / incentive,11
1,Typ turystyki,Turystyka industrialna,12
1,Typ turystyki,Turystyka krajoznawcza / edukacyjna,13
1,Typ turystyki,Turystyka przyrodnicza,14
1,Typ turystyki,Turystyka rodzinna,15
1,Typ turystyki,Turystyka wiejska,16
1,Typ turystyki,Twierdze,17
1,Typ turystyki,Zamki i pałace,18
2,Region,dolnośląskie,1
2,Region,kujawsko-pomorskie,2
2,Region,lubelskie,3
2,Region,lubuskie,4
2,Region,łódzkie,5
2,Region,małopolskie,6
2,Region,mazowieckie,7
2,Region,opolskie,8
2,Region,podkarpackie,9
2,Region,podlaskie,10
2,Region,pomorskie,11
2,Region,śląskie,12
2,Region,świętokrzyskie,13
2,Region,warmińsko-mazurskie,14
2,Region,wielkopolskie,15
2,Region,zachodniopomorskie,16
3,Rok certyfikacji,2003,2003
3,Rok certyfikacji,2004,2004
3,Rok certyfikacji,2005,2005
3,Rok certyfikacji,2006,2006
3,Rok certyfikacji,2007,2007
3,Rok certyfikacji,2008,2008
3,Rok certyfikacji,2009,2009
3,Rok certyfikacji,2010,2010
3,Rok certyfikacji,2011,2011
3,Rok certyfikacji,2012,2012
3,Rok certyfikacji,2013,2013
3,Rok certyfikacji,2014,2014
3,Rok certyfikacji,2015,2015
3,Rok certyfikacji,2016,2016
